,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia,Mongolia
Lat,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625,46.8625
Long,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467,103.8467
Province/State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apparentTemperatureHigh,10.94,11.06,22.31,21.58,26.98,26.96,15.5,20.43,5.66,3.16,-0.65,8.29,9.39,19.41,21.97,14.92,25.2,25.39,39.72,43.46,45.34,7.28,-13.23,0.26,14.95,34.07,21.07,17.86,20.72,2.07,13.76,34.44,38.33,10.82,18.11,22.32,22.31,29.48,7.96,17.91,2.92,11.8,23.21,14.06,33.21,22,-1.87,7.23,29.96,6.36,11.06,21.46,43.32,31.87,42.12
apparentTemperatureHighTime,1579671300,1579764180,1579851360,1579929780,1580022240,1580101740,1580188140,1580281020,1580359740,1580465100,1580525580,1580630400,1580712900,1580799540,1580887020,1580982720,1581060180,1581138360,1581231360,1581311460,1581404760,1581462000,1581579120,1581667080,1581752580,1581837840,1581908640,1582012680,1582097220,1582185480,1582271880,1582354860,1582440360,1582530840,1582617120,1582700040,1582790400,1582871940,1582961520,1583035440,1583146800,1583221740,1583308620,1583392980,1583481180,1583556180,1583654520,1583740440,1583827260,1583881200,1583999820,1584086160,1584172560,1584252300,1584347640
apparentTemperatureLow,-10.94,-6.34,-2.98,2.09,5.88,-4.54,-6.36,-3.79,-16.61,-17,-22.11,-7.83,-11.38,-4.84,-3.53,-6.3,2.27,7.14,14.45,16.89,2.08,-21.03,-18.23,-10.04,-2.35,4.25,-4.67,-3.43,-9.49,-10.71,-2.56,11.21,6.79,6.02,-1.29,-1.35,-4.07,-3.49,-4.98,-10.92,-17.24,-11.36,6.28,-2.61,15.85,-6.29,-11.38,-4.72,4.74,-8.3,-2.58,8.43,15.1,17.17,24.52
apparentTemperatureLowTime,1579735140,1579820460,1579909500,1579992720,1580064300,1580168400,1580251980,1580342400,1580425620,1580513940,1580581200,1580683080,1580771760,1580860800,1580945820,1581028320,1581115980,1581187560,1581290940,1581375720,1581465600,1581548820,1581636720,1581722580,1581807360,1581876660,1581982140,1582065060,1582154940,1582241160,1582301820,1582411200,1582502220,1582556460,1582644540,1582759080,1582829340,1582933800,1583006400,1583105280,1583189880,1583275440,1583365860,1583449380,1583539200,1583625600,1583691780,1583794320,1583884800,1583968500,1584053580,1584138780,1584229200,1584314820,1584401340
apparentTemperatureMax,10.94,11.06,22.31,21.58,26.98,26.96,15.5,20.43,8.91,3.16,-0.65,8.29,9.39,19.41,21.97,14.92,25.2,25.39,39.72,43.46,45.34,25.36,-13.23,0.26,14.95,34.07,21.07,17.86,20.72,2.07,13.76,34.44,38.33,10.82,18.11,22.32,22.31,29.48,9.43,17.91,3,11.8,23.21,14.06,33.21,22.16,13.24,7.23,29.96,13.73,11.06,21.46,43.32,31.87,42.12
apparentTemperatureMaxTime,1579671300,1579764180,1579851360,1579929780,1580022240,1580101740,1580188140,1580281020,1580325480,1580465100,1580525580,1580630400,1580712900,1580799540,1580887020,1580982720,1581060180,1581138360,1581231360,1581311460,1581404760,1581440460,1581579120,1581667080,1581752580,1581837840,1581908640,1582012680,1582097220,1582185480,1582271880,1582354860,1582440360,1582530840,1582617120,1582700040,1582790400,1582871940,1582905600,1583035440,1583147160,1583221740,1583308620,1583392980,1583481180,1583515020,1583596800,1583740440,1583827260,1583861520,1583999820,1584086160,1584172560,1584252300,1584347640
apparentTemperatureMin,-7.07,-10.94,-6.34,-2.98,2.09,5.88,-4.54,-6.36,-8.39,-16.61,-18.65,-22.11,-7.83,-11.38,-5.02,-3.53,-6.3,2.27,7.14,14.45,16.89,-16.94,-21.09,-18.23,-10.04,-2.35,1.2,-4.67,-3.43,-9.49,-10.71,-2.56,11.21,6.02,-0.98,-1.17,-1.35,-4.07,-3.49,-4.98,-10.92,-17.24,-11.36,6.28,-2.61,10.94,-11.48,-11.38,-4.72,-1.04,-8.3,-2.58,8.43,15.1,17.17
apparentTemperatureMinTime,1579629240,1579735140,1579820460,1579909500,1579992720,1580064300,1580168400,1580251980,1580396400,1580425620,1580569200,1580581200,1580683080,1580771760,1580861400,1580945820,1581028320,1581115980,1581187560,1581290940,1581375720,1581513720,1581555180,1581636720,1581722580,1581807360,1581947340,1581982140,1582065060,1582154940,1582241160,1582301820,1582411200,1582556400,1582642800,1582646400,1582759080,1582829340,1582933800,1583006400,1583105280,1583189880,1583275440,1583365860,1583449380,1583581380,1583637240,1583691780,1583794320,1583923080,1583968500,1584053580,1584138780,1584229200,1584314820
cloudCover,0.29,0.12,0.17,0,0,0,0.11,0.04,0.21,0.18,0.46,0.2,0.05,0,0.31,0.09,0,0.06,0.16,0.47,0.26,0.97,0.96,0.45,0.17,0,0.42,0.92,0.61,0.92,0,0.3,0.95,1,0.76,0.62,0.51,0.62,0.89,0.54,0.58,0.01,0.37,0.55,0.11,0.85,0.82,0.17,0.42,0.91,0.18,0.13,0,0.22,0.18
dewPoint,-8.35,-9.56,-8.87,-5.6,-4.78,-4.87,-6.32,-4.03,-6.02,-19.04,-21.08,-17.06,-11.93,-10.61,-9.38,-5.15,-5.1,0.79,2.37,0.55,3.74,-2.42,-14.07,-15.69,-16.81,-11.09,-4.93,-4.18,0.43,-1.24,-9.57,-4.33,5.02,6.86,3.64,8.27,-2.01,5.75,5.06,1.2,-6.06,-13.75,-4.11,4.01,2.65,5.7,-2.1,-5.44,2.27,6.07,-4.61,1.51,6.54,6.24,11.2
humidity,0.46,0.45,0.39,0.39,0.34,0.4,0.46,0.47,0.48,0.39,0.4,0.38,0.42,0.41,0.39,0.47,0.42,0.43,0.34,0.27,0.3,0.46,0.48,0.45,0.31,0.29,0.4,0.51,0.5,0.55,0.4,0.33,0.4,0.66,0.61,0.61,0.53,0.55,0.62,0.52,0.58,0.44,0.38,0.49,0.44,0.5,0.6,0.46,0.45,0.64,0.52,0.45,0.41,0.35,0.37
