,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266,38.5266
Long,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265,-96.7265
Province/State,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas
apparentTemperatureHigh,27.83,30.57,25.89,35.63,51.53,37.42,27.97,35.42,30.8,39.24,58.08,70.58,50.3,22.47,22.45,35.71,34.26,43.14,42.98,42.51,43.47,34.21,12.6,16.89,42.84,51.64,59.99,39.38,40.34,25.6,35.54,55.44,54.09,41.52,31.04,30.23,50.53,57.66,66.83,65.97,56.44,61.66,62.93,59.44,58.52,68.15,68.07,55.1,53.29,66.54,64.41,44.62,35.98,36.73,45.6
apparentTemperatureHighTime,1579730460,1579798860,1579907760,1579982520,1580069940,1580154300,1580240940,1580328300,1580414160,1580501640,1580587980,1580674740,1580742000,1580845980,1580932440,1581025500,1581105720,1581192420,1581266820,1581364800,1581460980,1581533400,1581642000,1581717480,1581797160,1581884280,1581969780,1582056720,1582142460,1582235700,1582315980,1582401780,1582486980,1582586640,1582667280,1582758420,1582833540,1582920420,1583006700,1583092680,1583186040,1583265900,1583352060,1583437740,1583525340,1583611140,1583696760,1583771580,1583883180,1583964660,1584040140,1584128820,1584215040,1584309360,1584395040
apparentTemperatureLow,26.9,17.69,19.82,22.28,23.43,21.51,22,23.83,21.22,19.23,31.45,44.87,16.55,15.39,11.47,19.9,18.32,30.69,18.41,21.17,24.84,-10.38,-8.16,12.12,20.84,34.44,17.71,20.71,5.28,7.04,21.3,33.13,31.12,26.12,15.01,17.39,20.77,22.68,41.24,23.87,27.92,32.16,30.59,22.16,32.02,37.02,51.06,29.67,38.72,46.49,31.93,24.67,26.91,30.81,35.1
apparentTemperatureLowTime,1579750980,1579853160,1579942140,1580038680,1580133120,1580220000,1580296860,1580370840,1580465160,1580553900,1580641260,1580736660,1580824800,1580900460,1580986800,1581062400,1581170400,1581222000,1581329940,1581418740,1581489000,1581599160,1581682320,1581734040,1581848340,1581914820,1582032360,1582109820,1582205280,1582279980,1582358940,1582455360,1582552800,1582639200,1582722540,1582801140,1582884060,1582974000,1583059980,1583154540,1583230800,1583319420,1583405820,1583492460,1583575380,1583665020,1583751900,1583816280,1583931600,1583992800,1584095580,1584176700,1584263160,1584337680,1584442620
apparentTemperatureMax,27.83,30.57,25.89,35.63,51.53,37.42,27.97,35.42,30.8,39.24,58.08,70.58,55.26,22.47,22.45,35.71,34.26,43.14,42.98,42.51,43.47,34.21,12.75,16.89,42.84,51.64,59.99,39.38,40.34,25.6,35.54,55.44,54.09,41.52,32.33,30.23,50.53,57.66,66.83,65.97,56.44,61.66,62.93,59.44,58.52,68.15,68.07,55.1,53.29,66.54,64.41,44.62,35.98,36.73,45.6
apparentTemperatureMaxTime,1579730460,1579798860,1579907760,1579982520,1580069940,1580154300,1580240940,1580328300,1580414160,1580501640,1580587980,1580674740,1580712540,1580845980,1580932440,1581025500,1581105720,1581192420,1581266820,1581364800,1581460980,1581533400,1581642780,1581717480,1581797160,1581884280,1581969780,1582056720,1582142460,1582235700,1582315980,1582401780,1582486980,1582586640,1582610400,1582758420,1582833540,1582920420,1583006700,1583092680,1583186040,1583265900,1583352060,1583437740,1583525340,1583611140,1583696760,1583771580,1583883180,1583964660,1584040140,1584128820,1584215040,1584309360,1584395040
apparentTemperatureMin,22.27,19.39,17.69,19.82,22.28,23.43,21.47,22,23.83,21.22,19.23,31.45,22.49,16.53,15.39,11.47,19.9,18.28,20.56,18.41,21.17,4.51,-10.38,-8.16,17.95,20.84,28.6,17.71,18.07,5.28,7.04,21.3,33.13,31.02,22.69,15.01,17.39,20.77,22.68,40.74,23.87,27.92,32.16,30.59,22.16,32.02,37.02,29.85,29.67,38.71,42.24,31.05,24.67,26.34,30.71
apparentTemperatureMinTime,1579683960,1579842000,1579853160,1579942140,1580038680,1580133120,1580220780,1580296860,1580370840,1580465160,1580553900,1580641260,1580792400,1580825220,1580900460,1580986800,1581062400,1581170700,1581310800,1581329940,1581418740,1581570000,1581599160,1581682320,1581746400,1581848340,1582002000,1582032360,1582174800,1582205280,1582279980,1582358940,1582455360,1582553640,1582690380,1582722540,1582801140,1582884060,1582974000,1583125200,1583154540,1583230800,1583319420,1583405820,1583492460,1583575380,1583665020,1583812800,1583816400,1583931660,1584072000,1584158400,1584176700,1584281280,1584366060
cloudCover,1,0.98,0.78,0.56,0.24,0.29,0.99,0.92,0.79,0.33,0.13,0.23,0.77,0.94,0.88,0.07,0.29,0.02,0.51,0.67,0.44,0.97,0.21,0.14,0.37,0.54,0.71,0.29,0.4,0.42,0,0.71,0.74,0.77,0.67,0.31,0.36,0.06,0.14,0.43,0.25,0,0.35,0.01,0,0.27,0.29,0.95,0.64,0.25,0.56,0.81,0.99,0.99,0.99
