,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525,43.4525
Long,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639,-71.5639
Province/State,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire,New Hampshire
apparentTemperatureHigh,35.02,40.87,40.14,30.8,38.01,36.97,27.44,24.58,32.39,37.64,37.91,31.58,36.83,40.49,28.89,23.25,25.04,11.99,24.9,33.63,32.84,34.88,35.03,1.98,16.36,34.33,29.64,18.17,25.55,18.76,22.31,35.87,46.59,54.87,48.61,43.26,34.35,22.28,21.68,19.76,45.87,57.84,40.24,43.39,38.52,30.81,50.14,67.4,53.64,38.76,38.6,42.87,43.97,32.89,31.63
apparentTemperatureHighTime,1579723680,1579807980,1579889820,1579969380,1580068260,1580141520,1580212800,1580326380,1580414880,1580499660,1580589660,1580678160,1580754480,1580846520,1580904000,1581033600,1581076800,1581195900,1581292800,1581371460,1581448680,1581534120,1581626460,1581705900,1581802980,1581887880,1581962160,1582070400,1582144440,1582226460,1582319100,1582402440,1582488120,1582574160,1582659960,1582743360,1582818540,1582921860,1582986180,1583107200,1583185440,1583266440,1583344080,1583441940,1583513760,1583609700,1583701260,1583783880,1583866560,1583955000,1584050400,1584137400,1584215700,1584299640,1584389700
apparentTemperatureLow,-0.26,14.85,28.95,29.63,24.66,27.12,15.15,4.34,6.83,30.47,27.34,18.78,26.49,27.33,16.86,22.76,4.2,-3.79,17.3,27.63,21.17,26.08,-3.8,-13.46,6.58,12.28,10.64,17.54,4.36,-8.11,-4.38,14.76,17.84,30.36,33.44,28.91,12.89,11.21,4.62,14.41,28.81,32.93,27.35,19.58,16.89,16.32,23.38,37.08,28.48,26.51,31.38,25.09,22.11,13.14,18.77
apparentTemperatureLowTime,1579780740,1579864800,1579957200,1579996800,1580090580,1580216400,1580301060,1580380740,1580472060,1580559120,1580648400,1580732340,1580806440,1580907600,1580994000,1581039000,1581165900,1581248820,1581331620,1581415500,1581507840,1581570300,1581685200,1581763380,1581824640,1581937020,1582021200,1582099500,1582188840,1582282020,1582368840,1582440720,1582544880,1582631760,1582703760,1582797120,1582889400,1582973580,1583063280,1583128380,1583222580,1583322720,1583405580,1583493660,1583582520,1583663880,1583753040,1583841600,1583927520,1584000300,1584094440,1584173820,1584273600,1584344640,1584428340
apparentTemperatureMax,35.02,40.87,40.14,30.8,38.01,36.97,30.09,24.58,32.39,37.64,37.91,31.58,36.83,40.49,32.04,26.44,25.43,11.99,25.29,33.63,32.84,34.88,35.03,24.59,16.36,34.33,29.64,24.45,25.55,18.76,22.31,35.87,46.59,54.87,48.61,43.26,34.35,22.28,21.68,21.57,45.87,57.84,40.24,43.39,38.52,30.81,50.14,67.4,53.64,52.07,38.6,42.87,43.97,32.89,31.63
apparentTemperatureMaxTime,1579723680,1579807980,1579889820,1579969380,1580068260,1580141520,1580187600,1580326380,1580414880,1580499660,1580589660,1580678160,1580754480,1580846520,1580883840,1580975220,1581067200,1581195900,1581293940,1581371460,1581448680,1581534120,1581626460,1581656400,1581802980,1581887880,1581962160,1582084800,1582144440,1582226460,1582319100,1582402440,1582488120,1582574160,1582659960,1582743360,1582818540,1582921860,1582986180,1583110680,1583185440,1583266440,1583344080,1583441940,1583513760,1583609700,1583701260,1583783880,1583866560,1583899200,1584050400,1584137400,1584215700,1584299640,1584389700
apparentTemperatureMin,4.33,-0.26,14.85,27.08,24.66,28.95,22.45,10.91,4.34,6.83,30.36,27.28,18.78,26.49,23.47,16.76,8.45,4.2,-3.79,17.3,26.93,21.17,26.08,-5.82,-13.46,9.21,12.28,10.64,12.35,3.52,-8.11,-4.38,14.76,17.84,30.36,33.03,16.43,12.89,8.46,4.62,14.41,28.81,30.96,27.35,19.58,16.89,16.32,23.38,37.08,28.48,26.51,30.96,25.09,18.83,13.14
apparentTemperatureMinTime,1579696620,1579780740,1579864800,1579964100,1580090580,1580101200,1580255520,1580356800,1580380740,1580472060,1580616000,1580648940,1580732340,1580806440,1580915580,1580996280,1581134400,1581165900,1581248820,1581331620,1581480000,1581507840,1581570300,1581735780,1581763380,1581829200,1581937020,1582021200,1582171200,1582257600,1582282020,1582368840,1582440720,1582544880,1582631760,1582776000,1582862400,1582889400,1583035200,1583063280,1583128380,1583222580,1583366220,1583405580,1583493660,1583582520,1583663880,1583753040,1583841600,1583927520,1584000300,1584105540,1584173820,1584327600,1584344640
cloudCover,0.17,0.58,0.64,0.98,0.56,0.51,0.45,0.08,0.1,0.38,0.65,0.5,0.25,0.59,0.44,0.99,0.9,0.17,0.37,0.89,0.97,0.49,0.9,0.09,0.13,0.58,0.1,0.92,0.24,0.17,0.01,0.08,0.14,0.1,0.69,0.69,0.74,0.21,0.33,0.12,0.51,0.51,0.29,0.06,0.65,0.38,0.16,0.23,0.72,0.57,0.44,0.74,0.29,0.41,0.21
dewPoint,7.22,11.47,20.04,29.57,30.97,29.12,23.41,11.14,4.08,11.41,24.33,22.47,24.39,23.76,16.53,18.88,20.99,5.95,4.43,27.99,25.29,22.98,28.18,-1.65,-5.98,17.61,15.85,13.86,16.11,2.98,-2.32,11.01,19.96,22.88,29.11,32.35,27.58,10.77,11.44,7.04,17.94,37.43,29.61,24.32,26.17,6.96,13.35,26.12,36.55,23.55,22.44,34.1,22.72,10.8,4.28
humidity,0.61,0.64,0.64,0.8,0.8,0.72,0.69,0.52,0.5,0.55,0.7,0.68,0.7,0.7,0.52,0.74,0.72,0.6,0.66,0.88,0.81,0.65,0.84,0.5,0.48,0.62,0.65,0.77,0.62,0.54,0.47,0.6,0.66,0.65,0.7,0.78,0.74,0.49,0.62,0.55,0.62,0.79,0.63,0.58,0.76,0.34,0.4,0.53,0.75,0.53,0.62,0.8,0.49,0.38,0.41
icon,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,clear-day,clear-day,partly-cloudy-day,snow,partly-cloudy-day,clear-day,partly-cloudy-day,partly-cloudy-day,snow,snow,clear-day,partly-cloudy-day,snow,snow,snow,snow,clear-day,clear-day,partly-cloudy-day,clear-day,snow,snow,clear-day,clear-day,clear-day,clear-day,clear-day,partly-cloudy-day,rain,rain,clear-day,snow,clear-day,partly-cloudy-day,rain,rain,clear-day,snow,partly-cloudy-day,clear-day,clear-day,rain,rain,partly-cloudy-day,rain,clear-day,partly-cloudy-day,clear-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,340.7,328.8,343.1,362,404.5,386.7,374.7,362.9,352.3,369.9,372.5,416.1,374.5,312.6,354.4,336.3,344,396.2,357.3,366.1,329.7,345.4,313.6,387,342,344.8,365.6,355.9,367.5,417.1,382.7,365.3,343.4,335.7,318,318.8,358.2,432.2,477.3,410.4,367.5,394.8,420.1,372.8,376.7,419.1,363.8,349.7,348.8,390.3,380.2,345.1,323.9,349.3,363.9
precipAccumulation,0.08,0.13,0.03,,,,,0.06,0.09,0.05,0.03,0.02,0.03,0.02,,9.06,2.85,0.53,0.51,1.82,0.27,0.22,2.48,0.11,0.19,0.08,0.07,8.74,0.32,0.19,0.16,0.13,0.05,0.04,,,,0.02,0.15,0.06,0.08,,,,0.07,0.04,0.02,0.02,,,0.03,,,,0.05
