,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia
Lat,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545,-41.4545
Long,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707,145.9707
Province/State,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania,Tasmania
apparentTemperatureHigh,63.07,41.78,55.38,57.81,56.76,61.34,56.47,68.65,83.01,81.95,65.91,51.67,42.17,59.04,67.49,64.4,71.47,68.58,63.56,60.52,64.97,71.66,70.07,62.17,65.56,64.63,62,56.59,62.43,57.19,53.08,60.88,66.98,64.12,69.15,39.83,50.36,54.07,64.07,56.05,45.41,63.74,55.77,56.88,60.46,58.79,56.67,58.08,57.97,59.25,63.23,53.42,45.56,56.78,53.5
apparentTemperatureHighTime,1579664220,1579744500,1579841760,1579923780,1580004660,1580100240,1580173260,1580273880,1580359500,1580436300,1580522460,1580609940,1580703480,1580791560,1580875500,1580961360,1581047100,1581133380,1581213540,1581307020,1581397500,1581470880,1581569220,1581644460,1581732180,1581825900,1581915120,1581984060,1582087800,1582164480,1582260960,1582343460,1582433520,1582519620,1582605720,1582689720,1582772400,1582863960,1582950300,1583037660,1583121480,1583208600,1583297280,1583380320,1583466540,1583546340,1583643180,1583727300,1583815440,1583900220,1583989140,1584052560,1584158160,1584247860,1584332640
apparentTemperatureLow,40.49,34.95,43.6,48.37,41.78,43.28,48.12,51.95,55.94,63.78,39.49,27.65,31.61,38.74,44.83,48.76,50.93,44.92,44.92,53.44,55.51,54.01,54.68,56.37,41.08,40.14,43.96,40.92,38.48,35.53,37.79,43.23,47.45,46.56,32.02,33.63,33.51,44.48,44.1,31.42,37.92,41.97,47.83,44.96,37.6,40.48,40.42,39.78,42.35,44.46,51.33,28.36,38.19,42.23,42.29
apparentTemperatureLowTime,1579726800,1579785000,1579878660,1579980240,1580051700,1580150520,1580217600,1580318340,1580404980,1580490180,1580571120,1580676960,1580731440,1580838840,1580909400,1581012480,1581102660,1581185460,1581260820,1581337740,1581444720,1581536280,1581595560,1581703560,1581790080,1581878220,1581945360,1582059600,1582138560,1582226340,1582290480,1582376400,1582469100,1582568280,1582664400,1582724820,1582825800,1582880760,1582996920,1583096400,1583150400,1583250000,1583327040,1583438580,1583523900,1583586300,1583686500,1583783100,1583869800,1583931840,1584014100,1584104340,1584194220,1584285300,1584359940
apparentTemperatureMax,63.07,48.48,55.38,57.81,56.76,61.34,56.47,68.65,83.01,81.95,65.91,51.67,42.17,59.04,67.49,64.4,71.47,68.58,63.56,60.52,64.97,71.66,70.07,62.17,65.56,64.63,62,56.59,62.43,57.19,53.08,60.88,66.98,64.12,69.15,44.22,50.36,54.07,64.07,56.05,47.63,63.74,55.77,56.88,60.46,58.79,56.67,58.08,57.97,59.25,63.23,53.42,45.56,56.78,53.5
apparentTemperatureMaxTime,1579664220,1579698000,1579841760,1579923780,1580004660,1580100240,1580173260,1580273880,1580359500,1580436300,1580522460,1580609940,1580703480,1580791560,1580875500,1580961360,1581047100,1581133380,1581213540,1581307020,1581397500,1581470880,1581569220,1581644460,1581732180,1581825900,1581915120,1581984060,1582087800,1582164480,1582260960,1582343460,1582433520,1582519620,1582605720,1582635600,1582772400,1582863960,1582950300,1583037660,1583070840,1583208600,1583297280,1583380320,1583466540,1583546340,1583643180,1583727300,1583815440,1583900220,1583989140,1584052560,1584158160,1584247860,1584332640
apparentTemperatureMin,43.47,35.4,34.95,43.6,43.66,41.78,43.28,48.12,51.95,55.94,43.09,34.7,27.65,31.77,38.74,44.83,48.76,50.11,44.92,44.92,53.45,55.51,54.01,55.24,50.98,41.08,40.14,43.96,40.87,38.32,35.53,37.79,43.23,47.45,44.81,31.73,33.63,33.51,45.88,44.1,31.41,38.36,41.97,47.83,42.92,37.6,40.48,40.42,39.78,42.35,44.46,28.66,28.36,38.19,42.23
apparentTemperatureMinTime,1579633140,1579773900,1579785000,1579878660,1580036640,1580051700,1580150520,1580217600,1580318340,1580404980,1580558400,1580643900,1580676960,1580734800,1580838840,1580909400,1581012480,1581163200,1581185460,1581260820,1581339600,1581444720,1581536280,1581598800,1581768000,1581790080,1581878220,1581945360,1582061820,1582200000,1582226340,1582290480,1582376400,1582469100,1582632000,1582666020,1582724820,1582825800,1582977600,1582996920,1583096760,1583154000,1583250000,1583327040,1583496000,1583523900,1583586300,1583686500,1583783100,1583869800,1583931840,1584100800,1584104400,1584194220,1584285300
cloudCover,0.83,0.94,0.82,0.82,0.96,0.83,0.97,0.68,0.01,0.34,0.87,0.64,0.53,0.38,0.57,0.41,0.15,0.32,0.35,1,0.95,0.53,0.77,0.99,0.83,0.17,0.04,0.61,0.76,0.29,0.67,0.39,0.29,0.98,0.39,0.55,0.9,0.86,0.73,0.74,0.47,0.25,0.93,0.99,0.89,0.61,0.89,0.67,0.45,0.11,0.41,0.79,0.51,0.7,0.7
dewPoint,50.67,44.04,45.78,51.2,48.08,45.86,50.06,52.77,44.91,49.14,55.85,43.17,36.41,39.48,46.31,50.34,54.5,53.45,49.87,51.82,57.81,59.92,56.86,57.32,57.29,44.44,42.09,47.62,43.51,42.99,40.41,44.18,50.4,49.79,49.48,40.47,43.5,42.9,49.93,49.39,41.06,44.4,48.32,52.31,48.6,42.76,43.38,43.69,44.36,45.69,51.7,48.13,37.95,44.12,45.64
humidity,0.96,1,0.96,1,0.9,0.88,0.98,0.88,0.51,0.53,0.86,0.95,0.88,0.82,0.83,0.91,0.9,0.89,0.9,0.96,1,0.97,0.94,1,0.99,0.79,0.79,0.97,0.84,0.87,0.86,0.88,0.9,0.87,0.83,0.94,1,0.91,0.91,1,0.9,0.82,0.98,1,0.89,0.85,0.91,0.91,0.92,0.88,0.94,1,0.91,0.92,0.98
icon,rain,rain,rain,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,partly-cloudy-day,partly-cloudy-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,clear-day,cloudy,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,rain,rain,clear-day,rain,rain,cloudy,partly-cloudy-day,cloudy,partly-cloudy-day,partly-cloudy-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,partly-cloudy-day,rain
moonPhase,0.92,0.95,0.98,0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29,0.32,0.36,0.39,0.43,0.47,0.5,0.54,0.58,0.62,0.66,0.69,0.73,0.77,0.8,0.83,0.87,0.9,0.93,0.96,0.99,0.02,0.05,0.08,0.11,0.14,0.17,0.21,0.24,0.27,0.3,0.34,0.37,0.41,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75
ozone,280.7,313.7,296.6,266.6,278.1,274.2,268.3,261.1,259.7,253.2,256.7,276.1,302.8,280.1,283.2,285.4,286.3,287.6,285.6,272.8,280.6,274.3,262.2,265.6,283.4,288.4,284,284.1,270.1,263.1,269,269.1,273.8,273.2,279.7,307.3,297,289.6,289.1,285.8,303.7,283.8,277.3,269.5,275.2,283.4,283.7,274.6,266.9,262,269.9,275.3,282.8,278.1,265
precipAccumulation,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,
precipIntensity,0.0278,0.0444,0.0052,0.0029,0.0046,0.0003,0.0014,0.0003,0.0001,0.001,0.0235,0.0106,0.0053,0.0001,0.0001,0.0001,0.002,0.0002,0.0001,0.002,0.0063,0.0086,0.0005,0.0067,0.0052,0.0001,0.0001,0.0071,0.0123,0.0001,0.0008,0.0001,0.0003,0.0001,0.0003,0.0141,0.006,0.0013,0.0003,0.01,0.0146,0.0003,0.0015,0.0364,0.0001,0.0009,0.0007,0.0002,0.0001,0.0004,0.0001,0.0272,0.0005,0.0005,0.0027
