,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020
Country/Region,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US,US
Lat,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211,35.7211
Long,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781,-79.1781
Province/State,"Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC","Chatham County, NC"
apparentTemperatureHigh,43.6,46.24,62.84,56.97,53.34,51.87,53.27,52.19,52.21,42.22,45.02,63.13,74.1,70.28,64.92,68.57,56.03,44.93,56.23,63.5,73.02,56.95,69.15,53.09,46.2,57.23,61.26,61.5,51.11,40.37,33.99,54.65,63.58,51.99,64.28,66.22,50.03,54.21,44.09,59.24,68.34,63.91,63.85,55.8,57.46,55.65,63.96,69.96,67.14,74.3,74.15,75.67,70.7,57.98,60.37
apparentTemperatureHighTime,1579723020,1579809660,1579895940,1579980780,1580068800,1580145960,1580241540,1580327820,1580414160,1580492280,1580584860,1580673480,1580759340,1580842920,1580932740,1581013980,1581076800,1581181620,1581277980,1581365160,1581451560,1581532860,1581605700,1581710160,1581797220,1581881700,1581969300,1582056000,1582133400,1582213500,1582316880,1582401660,1582486860,1582560360,1582660200,1582746720,1582833660,1582919760,1583006220,1583092680,1583176080,1583254380,1583351220,1583428440,1583514420,1583611260,1583697420,1583783100,1583871180,1583955540,1584043200,1584128280,1584211500,1584293040,1584388500
apparentTemperatureLow,20.49,32.67,43.8,30.51,33.68,32.23,28.65,32.15,27.53,33.53,31.44,40.81,55,58.88,59.96,53.56,29.64,30.96,31.61,56.37,46.81,53.66,37.05,21.05,31.3,36.95,39.17,45.54,37.4,20.39,20.6,27.54,40.31,43.63,51.77,30.88,24.86,27.35,25.68,35.96,55.44,42.97,45.71,36.94,30.6,29.05,32.67,55.14,51.19,47.59,63.33,50.51,51.76,41.26,48.29
apparentTemperatureLowTime,1579776540,1579841760,1579954200,1580035140,1580119500,1580208840,1580291340,1580382840,1580471460,1580518680,1580644080,1580727120,1580813940,1580895960,1580992980,1581080400,1581148380,1581242280,1581332160,1581387600,1581508800,1581557100,1581678060,1581764340,1581839100,1581943620,1582019760,1582117200,1582194360,1582290000,1582366020,1582445040,1582530420,1582593900,1582711200,1582801740,1582891140,1582972740,1583056740,1583148660,1583228880,1583320680,1583403180,1583494920,1583575860,1583653860,1583748660,1583835300,1583927340,1584013740,1584068820,1584184740,1584273600,1584356220,1584438780
apparentTemperatureMax,43.6,46.24,62.84,56.97,53.34,51.87,53.27,52.19,52.21,42.22,45.02,63.13,74.1,70.28,64.92,68.57,61.77,44.93,56.23,63.5,73.02,62.94,69.15,53.09,46.2,57.23,61.26,61.5,57.47,40.57,33.99,54.65,63.58,51.99,64.28,66.22,50.03,54.21,44.09,59.24,68.34,63.91,63.85,55.8,57.46,55.65,63.96,69.96,67.14,74.3,74.15,75.67,70.7,59.21,60.37
apparentTemperatureMaxTime,1579723020,1579809660,1579895940,1579980780,1580068800,1580145960,1580241540,1580327820,1580414160,1580492280,1580584860,1580673480,1580759340,1580842920,1580932740,1581013980,1581061380,1581181620,1581277980,1581365160,1581451560,1581483600,1581605700,1581710160,1581797220,1581881700,1581969300,1582056000,1582098480,1582174800,1582316880,1582401660,1582486860,1582560360,1582660200,1582746720,1582833660,1582919760,1583006220,1583092680,1583176080,1583254380,1583351220,1583428440,1583514420,1583611260,1583697420,1583783100,1583871180,1583955540,1584043200,1584128280,1584211500,1584244800,1584388500
apparentTemperatureMin,16.46,20.49,32.68,37.33,30.51,33.68,32.23,28.65,32.15,27.53,33.89,31.44,40.81,55,58.88,59.96,31.98,29.64,30.96,31.61,59.11,46.81,50.42,29.5,21.05,31.3,36.95,39.17,40.95,27.59,20.21,20.6,27.54,40.31,43.85,51.77,30.88,24.86,27.35,25.68,35.96,54.54,42.97,45.71,35.34,30.6,29.05,32.67,55.14,51.19,47.59,62.88,50.51,46.13,41.26
apparentTemperatureMinTime,1579690860,1579776540,1579842000,1580011200,1580035140,1580119500,1580208840,1580291340,1580382840,1580471460,1580533200,1580644080,1580727120,1580813940,1580895960,1580992980,1581134400,1581148380,1581242280,1581332160,1581397200,1581508800,1581652800,1581739200,1581764340,1581839100,1581943620,1582019760,1582171200,1582254600,1582291980,1582366020,1582445040,1582530420,1582606800,1582711200,1582801740,1582891140,1582972740,1583056740,1583148660,1583294400,1583320680,1583403180,1583553600,1583575860,1583653860,1583748660,1583835300,1583927340,1584013740,1584154800,1584184740,1584327600,1584356220
cloudCover,0.06,0.6,0.86,0.43,0.17,0.57,0.09,0.49,0.23,0.67,0.78,0.06,0.35,0.51,0.9,0.96,0.46,0.33,0.16,0.68,0.91,0.92,0.89,0.33,0.17,0.78,0.3,0.81,0.92,1,0.23,0.03,0.13,0.85,0.98,0.99,0.04,0.2,0.03,0.08,0.52,0.78,0.66,0.84,0.42,0,0.06,0.33,0.71,0.36,0.39,0.81,0.46,0.86,0.68
dewPoint,15.05,24.65,45.64,43.99,30.43,35.39,32.99,30.17,30.08,29.52,37.05,34.66,41.51,48.32,59.09,61.71,41.61,25.63,31.18,43.04,63.34,48.73,59.83,29.91,19.07,32.22,39.73,44.86,45.76,32.33,21.88,22.89,28.79,39.11,55.04,54.87,24.22,25.32,23.03,19.49,38.34,56.31,40.46,41.51,34.55,26.09,24.81,38.39,55.11,55.92,54.89,62.05,35.23,43.29,39.49
humidity,0.48,0.64,0.87,0.8,0.66,0.79,0.7,0.68,0.63,0.75,0.87,0.62,0.56,0.61,0.92,0.97,0.72,0.62,0.67,0.78,0.93,0.8,0.93,0.57,0.52,0.66,0.74,0.82,0.86,0.78,0.66,0.61,0.57,0.75,0.97,0.91,0.49,0.55,0.54,0.45,0.58,0.94,0.63,0.73,0.64,0.5,0.48,0.58,0.81,0.81,0.82,0.81,0.4,0.66,0.66
icon,clear-day,partly-cloudy-day,rain,rain,clear-day,rain,clear-day,partly-cloudy-day,clear-day,rain,rain,clear-day,partly-cloudy-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,partly-cloudy-day,rain,rain,rain,partly-cloudy-day,clear-day,rain,rain,rain,rain,rain,rain,clear-day,clear-day,rain,rain,rain,rain,clear-day,clear-day,clear-day,partly-cloudy-day,rain,partly-cloudy-day,rain,rain,clear-day,clear-day,partly-cloudy-day,rain,rain,partly-cloudy-day,rain,partly-cloudy-day,rain,partly-cloudy-day
moonPhase,0.94,0.97,0.01,0.04,0.07,0.1,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.35,0.38,0.42,0.45,0.49,0.53,0.57,0.61,0.64,0.68,0.72,0.75,0.79,0.82,0.86,0.89,0.92,0.95,0.98,0.01,0.04,0.07,0.1,0.13,0.16,0.2,0.23,0.26,0.29,0.33,0.36,0.4,0.44,0.47,0.51,0.55,0.59,0.63,0.67,0.7,0.74,0.77
ozone,319.5,302.5,314.2,325.9,340.2,357,327.4,325.7,335.5,334.9,339.9,332.3,301.7,273.1,278.7,282.3,313.5,331,290.6,277.5,272.4,277.1,276,289.5,311,306.4,315.9,296,283.5,297,344.3,384.9,337.1,297.9,295.6,292.7,319.1,354.6,392.9,335.5,332.3,326.1,299.1,288.1,349.7,358.4,325.2,309.5,319.3,348.4,344.8,310.2,302.5,296.3,310
precipAccumulation,0.05,0.08,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,0.1,,,,,,,,0.03,,,,,,,,,,,,,,,
precipIntensity,0.0004,0.001,0.0212,0.0232,0.0006,0.0035,0.0008,0.0006,0.0007,0.0353,0.0025,0.0003,0.0006,0.0005,0.0073,0.0721,0.0146,0.0011,0.0008,0.0007,0.0135,0.002,0.0136,0.0006,0.0008,0.0018,0.0006,0.0072,0.0048,0.0226,0.0012,0.001,0.0005,0.0064,0.012,0.0017,0.0006,0.0017,0.0006,0.0005,0.0011,0.0105,0.0005,0.0027,0.0016,0.0008,0.0007,0.0008,0.0021,0.0022,0.0009,0.002,0.0007,0.0014,0.0006
